datetime,date_str,sensor,station_name,lon,lat,valid_pixels,turbidity_mean,turbidity_median,turbidity_std,turbidity_p10,turbidity_p90
2020-07-01,2020_Annual,S2,Station_1,91.884327,22.387539,25,41.89156723022461,41.8036994934082,0.5573265552520752,41.245155334472656,42.58872604370117
2020-07-01,2020_Annual,S2,Station_2,91.892738,22.40357,25,33.83909225463867,33.84569549560547,0.7669540047645569,32.83412170410156,34.725372314453125
2020-07-01,2020_Annual,S2,Station_3,91.904926,22.411346,25,62.71711349487305,62.93964767456055,6.3002519607543945,55.26591110229492,70.75825500488281
2020-07-01,2020_Annual,S2,Station_4,91.935825,22.422772,25,17.57643699645996,16.336475372314453,1.8861751556396484,16.050806045532227,21.08963966369629
2021-07-01,2021_Annual,S2,Station_1,91.884327,22.387539,25,43.651790618896484,43.527976989746094,1.0151678323745728,42.49522018432617,45.05097198486328
2021-07-01,2021_Annual,S2,Station_2,91.892738,22.40357,25,33.5602912902832,33.108585357666016,1.2498008012771606,32.626136779785156,34.39613342285156
2021-07-01,2021_Annual,S2,Station_3,91.904926,22.411346,25,74.44418334960938,75.31417846679688,11.017807006835938,68.84976959228516,83.64550018310547
2021-07-01,2021_Annual,S2,Station_4,91.935825,22.422772,25,25.605266571044922,25.327987670898438,3.053096294403076,21.29498291015625,28.783050537109375
2022-07-01,2022_Annual,S2,Station_3,91.904926,22.411346,25,46.826839447021484,47.15320587158203,4.694548606872559,40.74010467529297,51.436767578125
2022-07-01,2022_Annual,S2,Station_4,91.935825,22.422772,25,12.93303108215332,12.960874557495117,0.3714164197444916,12.489800453186035,13.361035346984863
2022-07-01,2022_Annual,S2,Station_1,91.884327,22.387539,25,33.834259033203125,33.8870964050293,0.9136215448379517,32.70562744140625,35.040653228759766
2022-07-01,2022_Annual,S2,Station_2,91.892738,22.40357,25,63.468238830566406,62.84864807128906,3.3893916606903076,59.75846862792969,67.70585632324219
2023-07-01,2023_Annual,S2,Station_1,91.884327,22.387539,0,,,,,
2023-07-01,2023_Annual,S2,Station_2,91.892738,22.40357,0,,,,,
2023-07-01,2023_Annual,S2,Station_3,91.904926,22.411346,25,33.485721588134766,33.39341735839844,0.7945840358734131,32.641780853271484,34.3541374206543
2023-07-01,2023_Annual,S2,Station_4,91.935825,22.422772,25,41.043601989746094,40.55438232421875,3.894879102706909,36.5992431640625,45.54109191894531
2024-07-01,2024_Annual,S2,Station_1,91.884327,22.387539,25,48.909908294677734,48.757015228271484,0.8014258146286011,47.91837692260742,49.98469924926758
2024-07-01,2024_Annual,S2,Station_2,91.892738,22.40357,25,38.226600646972656,38.00619888305664,0.9608559608459473,37.181156158447266,39.68498229980469
2024-07-01,2024_Annual,S2,Station_3,91.904926,22.411346,25,45.0016975402832,30.34397315979004,16.729055404663086,28.094261169433594,64.41301727294922
2024-07-01,2024_Annual,S2,Station_4,91.935825,22.422772,25,23.426843643188477,23.55205726623535,1.284685492515564,22.212858200073242,24.678539276123047
2025-07-01,2025_Annual,S2,Station_3,91.904926,22.411346,25,34.42143249511719,34.55614471435547,0.6973275542259216,33.434295654296875,35.160552978515625
2025-07-01,2025_Annual,S2,Station_1,91.884327,22.387539,25,47.42222595214844,47.56357955932617,0.9805948138237,45.777740478515625,48.61204147338867
2025-07-01,2025_Annual,S2,Station_2,91.892738,22.40357,25,42.70070266723633,42.63043975830078,0.5205587148666382,42.13235092163086,43.50663375854492
2025-07-01,2025_Annual,S2,Station_4,91.935825,22.422772,25,20.810928344726562,20.92129135131836,1.885667324066162,18.30805206298828,23.60451316833496
